페이지,Try,비고,사람
,"  • 문제 발생 시, 개발 팀 뿐만 아니라 전체 팀 간 공유하기
  • 필요한 데이터가 있을 때 바로바로 요구하기 ",,김병우 남자
,"  • 파이팅 합시다. 할 거 많지만 해야할 것이 더 많습니다. 달려봅시다.
  • 책상 갯수 추가 및 정리 완료. 책상 정리 좀 더 열심히 합시다.",,IG_Bang
,각 기능별 사용 가이드 만들어보기,,경근 배
,,,"제영호 "
,,,구진영
,,"  • 자소서 컨설팅",승현 한
