이름,사이트,산출물
학습시,,
아침 쟁점,,
카메라 스펙 (OAK-D-Lite 의사 결정),,
"객체 인식, Jetson orin nano에서 할 것",,
Orin Nano 환경 세팅 + OAK-D Lite 객체 인식 테스트,,
OAK-D Lite 촬영 스크립트 트러블슈팅,,
[Vender] oak_camera_driver 패키지 보고서,,
[Perception] camera_perception 패키지 보고서,,
